Matrix,Threads,Rows,Cols,NNZ,CustomAvgMS,MKLAvgMS,Ratio
MM_matrix_files/memplus.mtx,4,17758,17758,126150,0.0466601,0.0303806,1.535851826
MM_matrix_files/memplus.mtx,16,17758,17758,126150,0.0716705,0.0466183,1.537389823
MM_matrix_files/memplus.mtx,8,17758,17758,126150,0.0491457,0.0192896,2.547782225
MM_matrix_files/west0067.mtx,1,67,67,294,0.0018326,0.0023209,0.78960748
MM_matrix_files/west0067.mtx,8,67,67,294,0.065254,0.0530498,1.230051763
MM_matrix_files/west0067.mtx,2,67,67,294,0.0023747,0.0016628,1.428133269
MM_matrix_files/west0067.mtx,4,67,67,294,0.0047103,0.0016097,2.926197428
MM_matrix_files/west0067.mtx,16,67,67,294,0.163009,0.0452595,3.601652692
MM_matrix_files/jgl009.mtx,1,9,9,50,0.0017192,0.0018037,0.953151855
MM_matrix_files/jgl009.mtx,8,9,9,50,0.0021802,0.0014238,1.53125439
MM_matrix_files/jgl009.mtx,2,9,9,50,0.0020153,0.0011731,1.71792686
MM_matrix_files/jgl009.mtx,4,9,9,50,0.0024661,0.0013682,1.802441164
MM_matrix_files/jgl009.mtx,16,9,9,50,0.0111598,0.004377,2.549645876
